2.0   2.9800
  3.0   2.9999
  4.0   3.0200
  5.0   3.0984
  6.0   3.1067
  7.0   3.1273
  8.0   3.1457
  9.0   3.1716
 10.0   3.2055
 11.0   3.2437
 12.0   3.2827
 13.0   3.3197
 14.0   3.3559
 15.0   3.3929
 16.0   3.4305
 17.0   3.4678
 18.0   3.5044
 19.0   3.5396
 20.0   3.5728
 21.0   3.6035
 22.0   3.6318
 23.0   3.6579
 24.0   3.6815
 25.0   3.7022
 26.0   3.7206
 27.0   3.7372
 28.0   3.7520
 29.0   3.7650
 30.0   3.7767
 31.0   3.7875
 32.0   3.7973
 33.0   3.8058
 34.0   3.8132
 35.0   3.8199
 36.0   3.8261
 37.0   3.8318
 38.0   3.8372
 39.0   3.8422
 40.0   3.8469
 41.0   3.8513
 42.0   3.8556
 43.0   3.8597
 44.0   3.8639
 45.0   3.8683
 46.0   3.8729
 47.0   3.8778
 48.0   3.8831
 49.0   3.8888
 50.0   3.8949
 51.0   3.9015
 52.0   3.9081
 53.0   3.9145
 54.0   3.9202
 55.0   3.9247
 56.0   3.9279
 57.0   3.9300
 58.0   3.9316
 59.0   3.9331
 60.0   3.9351
 61.0   3.9379
 62.0   3.9414
 63.0   3.9455
 64.0   3.9500
 65.0   3.9546
 66.0   3.9592
 67.0   3.9636
 68.0   3.9676
 69.0   3.9710
 70.0   3.9736
